stopid,stopname,stopsite,latitude,longitude,syscode,system,muni
140136,John Hindle at Glenmore (EB),EB_John Hindle_FS_Glenmore,49.946899,-119.423577,KEL,Kelowna Regional Transit System,Kelowna
140137,John Hindle at Glenmore (WB),WB_John Hindle_NS_Glenmore,49.947603,-119.424715,KEL,Kelowna Regional Transit System,Kelowna
140138,John Hindle at Campus Way (EB),EB_John Hindle_FS_Campus Way,49.938269,-119.401675,KEL,Kelowna Regional Transit System,Kelowna
140140,Academy at Shetland (WB),WB_Academy_FS_Shetland,49.922358,-119.398018,KEL,Kelowna Regional Transit System,Kelowna
140141,Academy Way at Arab (EB),EB_Academy Way_FS_Arab,49.922825,-119.399673,KEL,Kelowna Regional Transit System,Kelowna
140142,Academy Way at Vint (NB),NB_Academy Way_FS_Vint,49.928309,-119.399929,KEL,Kelowna Regional Transit System,Kelowna
140143,Academy Way at Vint (SB),SB_Academy Way_NS_Vint,49.928169,-119.400106,KEL,Kelowna Regional Transit System,Kelowna
140144,Academy Way at Acadia (NB),NB_Academy Way_FS_Acadia,49.932283,-119.401323,KEL,Kelowna Regional Transit System,Kelowna
140145,Academy Way at Acadia (SB),SB_Academy Way_NS_Acadia,49.932114,-119.401399,KEL,Kelowna Regional Transit System,Kelowna
140146,Academy Way at 935 Block (NB),NB_Academy Way_AT_935 Block,49.934695,-119.401086,KEL,Kelowna Regional Transit System,Kelowna
140147,Academy Way at 950 Block (SB),SB_Academy Way_AT_950 Block,49.934627,-119.401374,KEL,Kelowna Regional Transit System,Kelowna
140148,Rutland Exchange Bay B,Rutland Exchange_Bay B,49.890663,-119.391887,KEL,Kelowna Regional Transit System,Kelowna
140149,Rutland Exchange Bay C,Rutland Exchange_Bay C,49.890663,-119.390829,KEL,Kelowna Regional Transit System,Kelowna
140150,Rutland Exchange Bay D,Rutland Exchange_Bay D,49.890511,-119.392352,KEL,Kelowna Regional Transit System,Kelowna
140151,Rutland Exchange Bay E,Rutland Exchange_Bay E,49.890524,-119.391804,KEL,Kelowna Regional Transit System,Kelowna
140152,Dougall Rd at Hwy 33 (NB),NB_Dougall Rd_FS_Hwy 33,49.889424,-119.392741,KEL,Kelowna Regional Transit System,Kelowna
140139,John Hindle at Campus Way (WB),WB_John Hindle_FS_Campus Way,49.938589,-119.401818,KEL,Kelowna Regional Transit System,Kelowna
140153,Westlake Rd at Peak Point (EB),EB_Westlake Rd_FS_Peak Point Rd,49.883947,-119.560435,KEL,Kelowna Regional Transit System,West Kelowna
140155,Bear Creek at Vancouver (SB),SB_Bear Creek_NS_Vancouver,49.895268,-119.547437,KEL,Kelowna Regional Transit System,West Kelowna
140159,Innovation Dr at University (NB),NB_Innovation Dr_at_University,49.942565,-119.39057,KEL,Kelowna Regional Transit System,Kelowna
140160,Innovation Dr at University (SB),SB_Innovation Dr_at_University,49.943397,-119.390212,KEL,Kelowna Regional Transit System,Kelowna
140158,Klo at Benvoulin Rd (WB),WB_Klo Rd_NS_Benvoulin Rd,49.861145,-119.454003,KEL,Kelowna Regional Transit System,Kelowna
140154,Parkinson Rd at 1385 Block (EB),EB_Parkinson Rd_AT_1385 Block,49.895938,-119.549693,KEL,Kelowna Regional Transit System,West Kelowna
140190,Shannon Lake at Tallus Ridge Dr (NB),NB_Shannon Lake Rd_NS_Tallus Ridge Dr,49.862474,-119.612802,KEL,Kelowna Regional Transit System,West Kelowna
140191,Shannon Lake at Tallus Ridge (WB),WB_Shannon Lake_NS_Tallus Ridge,49.863284,-119.611984,KEL,Kelowna Regional Transit System,West Kelowna
140192,Whispering Hills at Copper Ridge (SB),SB_Whispering Hills_FS_Copper Ridge,49.853189,-119.64016,KEL,Kelowna Regional Transit System,West Kelowna
140193,Woodstock at Sandstone (WB),WB_Woodstock_FS_Sandstone,49.850235,-119.613851,KEL,Kelowna Regional Transit System,West Kelowna
140194,Shannon Ridge at Ridge Pl (NB),NB_Shannon Ridge_FS_Ridge Pl,49.853332,-119.613709,KEL,Kelowna Regional Transit System,West Kelowna
140195,Shannon Ridge at Shannon Green Crt (NB),NB_Shannon Ridge_FS_Shannon Green Crt,49.854589,-119.611447,KEL,Kelowna Regional Transit System,West Kelowna
140196,Smith Creek AT Elliott (NB),NB_Smith Creek_FS_Elliott,49.847717,-119.639028,KEL,Kelowna Regional Transit System,West Kelowna
140197,Smith Creek at Wild Horse (NB),NB_Smith Creek_NS_Wild Horse Dr,49.851279,-119.642276,KEL,Kelowna Regional Transit System,West Kelowna
140198,Shannon Ridge at 2176 Blk (WB),WB_Shannon Ridge_AT_2176 Blk,49.855906,-119.605606,KEL,Kelowna Regional Transit System,West Kelowna
