Longitude,Latitude
-119.547882,49.78517994
-119.547835,49.78428139
-119.547788,49.78338284
-119.547741,49.78248429
-119.547694,49.78158574
-119.547647,49.78068719
-119.547599,49.77978864
-119.547552,49.77889009
-119.547505,49.77799154
-119.547458,49.77709299
-119.547411,49.77619444
-119.547364,49.77529589
-119.547317,49.77439734
-119.547275,49.77379541
-119.546469,49.78933669
-119.546683,49.78880466
-119.546636,49.78790611
-119.546589,49.78700756
-119.546542,49.78610901
-119.546495,49.78521046
-119.546447,49.78431191
-119.5464,49.78341336
-119.546353,49.78251481
-119.546306,49.78161626
-119.546259,49.78071771
-119.546212,49.77981916
-119.546165,49.77892061
-119.546118,49.77802206
-119.54607,49.77712351
-119.546023,49.77622496
-119.545976,49.77532641
-119.545929,49.77442785
-119.545887,49.77381232
-119.544795,49.79026364
-119.545227,49.78965532
-119.545295,49.78883517
-119.545248,49.78793662
-119.545201,49.78703807
-119.545154,49.78613952
-119.545107,49.78524097
-119.54506,49.78434242
-119.545013,49.78344387
-119.544965,49.78254532
-119.544918,49.78164677
-119.544871,49.78074822
-119.544824,49.77984966
-119.544777,49.77895111
-119.544733,49.77805363
-119.544703,49.77715585
-119.544677,49.77625699
-119.544651,49.77535805
-119.544625,49.77445912
-119.5446,49.77382846
-119.543857,49.79048624
-119.543954,49.78976422
-119.543907,49.78886567
-119.54386,49.78796712
-119.543813,49.78706856
-119.543766,49.78617001
-119.543719,49.78527146
-119.543672,49.78437291
-119.543625,49.78347436
-119.543578,49.78257581
-119.543531,49.78167725
-119.543583,49.78102941
-119.544097,49.77990424
-119.544069,49.77904625
-119.544048,49.7783848
-119.542285,49.79138058
-119.542605,49.79068798
-119.542566,49.7897947
-119.542519,49.78889615
-119.542472,49.78799759
-119.542425,49.78709904
-119.542378,49.78620049
-119.542331,49.78530194
-119.542284,49.78440338
-119.542237,49.78350483
-119.54219,49.78260628
-119.542143,49.78170773
-119.542102,49.78111346
-119.540939,49.79221377
-119.541248,49.79160679
-119.541226,49.79072371
-119.541179,49.78982516
-119.541132,49.78892661
-119.541084,49.78802805
-119.541037,49.7871295
-119.54099,49.78623095
-119.540943,49.78533239
-119.540896,49.78443384
-119.540849,49.78353529
-119.540802,49.78263673
-119.540755,49.78173818
-119.540715,49.78113212
-119.539427,49.7931518
-119.539837,49.79249048
-119.539885,49.79165271
-119.539838,49.79075416
-119.539791,49.78985561
-119.539744,49.78895705
-119.539697,49.7880585
-119.53965,49.78715994
-119.539603,49.78626139
-119.539556,49.78536284
-119.539509,49.78446428
-119.539462,49.78356573
-119.539415,49.78266717
-119.539368,49.78176862
-119.539327,49.78115076
-119.538063,49.7948938
-119.538317,49.79431203
-119.53854,49.79345612
-119.538544,49.7925817
-119.538497,49.79168314
-119.53845,49.79078459
-119.538403,49.78988604
-119.538356,49.78898748
-119.538309,49.78808893
-119.538262,49.78719037
-119.538215,49.78629182
-119.538168,49.78539326
-119.538121,49.78449471
-119.538074,49.78359615
-119.538027,49.78269759
-119.53798,49.78179904
-119.537939,49.78116939
-119.537143,49.79514476
-119.53725,49.79440922
-119.537203,49.79351067
-119.537156,49.79261211
-119.537109,49.79171356
-119.537062,49.790815
-119.537015,49.78991645
-119.536968,49.78901789
-119.536921,49.78811934
-119.536874,49.78722078
-119.536827,49.78632223
-119.53678,49.78542367
-119.536733,49.78452511
-119.536686,49.78362656
-119.536639,49.782728
-119.536592,49.78182944
-119.536552,49.781188
-119.535899,49.79528583
-119.535862,49.79443963
-119.535815,49.79354107
-119.535768,49.79264251
-119.535721,49.79174396
-119.535674,49.7908454
-119.535627,49.78994685
-119.53558,49.78904829
-119.535533,49.78814973
-119.535486,49.78725118
-119.535439,49.78635262
-119.535392,49.78545406
-119.535345,49.7845555
-119.535298,49.78365695
-119.535251,49.78275839
-119.535204,49.78185983
-119.535164,49.7812066
-119.534266,49.79599174
-119.534518,49.79536724
-119.534474,49.79447001
-119.534427,49.79357145
-119.53438,49.7926729
-119.534333,49.79177434
-119.534286,49.79087578
-119.534239,49.78997723
-119.534192,49.78907867
-119.534145,49.78818011
-119.534098,49.78728155
-119.534051,49.78638299
-119.534004,49.78548444
-119.533957,49.78458588
-119.533911,49.78368732
-119.533864,49.78278876
-119.533817,49.7818902
-119.533776,49.78122518
-119.532692,49.79684415
-119.533111,49.79624836
-119.533132,49.79539894
-119.533085,49.79450038
-119.533039,49.79360182
-119.532992,49.79270326
-119.532945,49.79180471
-119.532898,49.79090615
-119.532851,49.79000759
-119.532804,49.78910903
-119.532757,49.78821047
-119.53271,49.78731191
-119.532663,49.78641335
-119.532617,49.7855148
-119.53257,49.78461624
-119.532523,49.78371768
-119.532476,49.78281912
-119.532429,49.78192056
-119.532391,49.78124599
-119.531219,49.79772728
-119.531698,49.79711359
-119.531791,49.79632785
-119.531744,49.79542929
-119.531697,49.79453073
-119.53165,49.79363217
